歌手名,歌手地区,歌手id,歌手图片
刘德华,,003aQYLo2x8izP,http://y.gtimg.cn/music/photo_new/T001R150x150M000003aQYLo2x8izP.webp
莫文蔚,,000cISVf2QqLc6,http://y.gtimg.cn/music/photo_new/T001R150x150M000000cISVf2QqLc6.webp
林宥嘉,,001f0VyZ1hmWZ1,http://y.gtimg.cn/music/photo_new/T001R150x150M000001f0VyZ1hmWZ1.webp
Vicetone,,003AD17D4PYPFR,http://y.gtimg.cn/music/photo_new/T001R150x150M000003AD17D4PYPFR.webp
陈粒,,004WgCsE3KBddt,http://y.gtimg.cn/music/photo_new/T001R150x150M000004WgCsE3KBddt.webp
张靓颖,,000aw4WC2EQYTv,http://y.gtimg.cn/music/photo_new/T001R150x150M000000aw4WC2EQYTv.webp
BIGBANG (빅뱅),,004AlfUb0cVkN1,http://y.gtimg.cn/music/photo_new/T001R150x150M000004AlfUb0cVkN1.webp
音阙诗听,,002vALgR3hRRlv,http://y.gtimg.cn/music/photo_new/T001R150x150M000002vALgR3hRRlv.webp
梁静茹,,000GGDys0yA0Nk,http://y.gtimg.cn/music/photo_new/T001R150x150M000000GGDys0yA0Nk.webp
陈雅森,,000zjDPE2odFUD,http://y.gtimg.cn/music/photo_new/T001R150x150M000000zjDPE2odFUD.webp
郭顶,,0002ankM4d5yZI,http://y.gtimg.cn/music/photo_new/T001R150x150M0000002ankM4d5yZI.webp
杨千嬅,,000xogLP35ayzS,http://y.gtimg.cn/music/photo_new/T001R150x150M000000xogLP35ayzS.webp
刀郎,,000iZroE1VWLJG,http://y.gtimg.cn/music/photo_new/T001R150x150M000000iZroE1VWLJG.webp
Taylor Swift (泰勒·斯威夫特),,000qrPik2w6lDr,http://y.gtimg.cn/music/photo_new/T001R150x150M000000qrPik2w6lDr.webp
蔡徐坤,,002nXp292LIOGV,http://y.gtimg.cn/music/photo_new/T001R150x150M000002nXp292LIOGV.webp
蔡健雅,,000hNnWC3kko2c,http://y.gtimg.cn/music/photo_new/T001R150x150M000000hNnWC3kko2c.webp
胡66,,000wHoyF0OZB6B,http://y.gtimg.cn/music/photo_new/T001R150x150M000000wHoyF0OZB6B.webp
王菲,,000GDDuQ3sGQiT,http://y.gtimg.cn/music/photo_new/T001R150x150M000000GDDuQ3sGQiT.webp
李克勤,,003nS2v740Lxcw,http://y.gtimg.cn/music/photo_new/T001R150x150M000003nS2v740Lxcw.webp
李宗盛,,002UGAkU4ZDoTZ,http://y.gtimg.cn/music/photo_new/T001R150x150M000002UGAkU4ZDoTZ.webp
魏新雨,,000LsFo136kIv4,http://y.gtimg.cn/music/photo_new/T001R150x150M000000LsFo136kIv4.webp
艾辰,,000985uR2CKS2P,http://y.gtimg.cn/music/photo_new/T001R150x150M000000985uR2CKS2P.webp
许巍,,00235pCx2tYjlq,http://y.gtimg.cn/music/photo_new/T001R150x150M00000235pCx2tYjlq.webp
张宇,,0044wQXL0ElWF1,http://y.gtimg.cn/music/photo_new/T001R150x150M0000044wQXL0ElWF1.webp
Sia (希雅),,004ItgA32BhfdC,http://y.gtimg.cn/music/photo_new/T001R150x150M000004ItgA32BhfdC.webp
陶喆,,002cK0F12szD9T,http://y.gtimg.cn/music/photo_new/T001R150x150M000002cK0F12szD9T.webp
